"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0019609","PrenTr00","T.Prentice","CLE","RB",15,151.7,2000,10.1133333333333,23,0,1,1,1,0,0
"00-0001224","BiakTi00","T.Biakabutuk","CAR","RB",12,149.6,2000,12.4666666666667,24,0,1,1,1,0,0
"00-0002159","BrysSh00","S.Bryson","BUF","RB",15,125.1,2000,8.34,25,0,0,1,1,0,0
"00-0019484","MorrSa00","S.Morris","BUF","RB",11,123.1,2000,11.1909090909091,26,0,0,1,1,0,0
"00-0007661","HolmPr00","P.Holmes","BAL","RB",16,122.9,2000,7.68125,27,0,0,1,1,0,0
"00-0005324","FletTe00","T.Fletcher","LAC","RB",15,122.1,2000,8.14,28,0,0,1,1,0,0
"00-0019643","DaynRo00","R.Dayne","NYG","RB",16,107.9,2000,6.74375,29,0,0,1,1,0,0
"00-0008921","JordRa00","R.Jordan","LV","RB",15,106.4,2000,7.09333333333333,30,0,0,1,1,0,0
"00-0000534","AutrDa00","D.Autry","PHI","RB",11,105.9,2000,9.62727272727273,31,0,0,1,1,0,0
"00-0017209",NA,"C.Warren","PHI","RB",13,103.4,2000,7.95384615384615,32,0,0,1,1,0,0
"00-0019641","JoneTh00","T.Jones","ARI","RB",14,96.1,2000,6.86428571428571,33,0,0,1,1,0,0
"00-0019722","RedmJ.00","J.Redmond","NE","RB",11,91.2,2000,8.29090909090909,34,0,0,1,1,0,0
"00-0015523","StalDu00","D.Staley","PHI","RB",5,80.2,2000,16.04,35,0,0,1,1,0,0
"00-0009038","KaufNa00","N.Kaufman","LV","RB",14,79.2,2000,5.65714285714286,36,0,0,1,1,0,0
"00-0005110","FazaJe00","J.Fazande","LAC","RB",11,73.2,2000,6.65454545454546,37,0,0,0,1,0,0
